run,model,path,peak_iteration,peak_step,peak_triplet,final_fe,early_triplets,stats_file,loss,nll,variance_scaler
GP_F19,GP_F,GP_F/GP_F19,0,-2,27,0.2452333333333333,27 3 7,stats_26.csv,-1.4967384338378906,-2.105202436447144,
GP_F4,GP_F,GP_F/GP_F4,0,-2,27,0.2452333333333333,27 20 14,stats_26.csv,-1.4214462041854858,-1.9753347635269165,
GP_F36,GP_F,GP_F/GP_F36,1,-1,27,0.2452333333333333,7 27 4,stats_26.csv,-1.446802020072937,-1.974658489227295,
GP_F48,GP_F,GP_F/GP_F48,1,-1,27,0.2452333333333333,17 27 4,stats_26.csv,-1.4163039922714231,-1.9439789056777956,
GP_F61,GP_F,GP_F/GP_F61,1,-1,27,0.2452333333333333,29 27 15,stats_26.csv,-1.417006254196167,-1.955177426338196,
GP_F43,GP_F,GP_F/GP_F43,2,0,27,0.2452333333333333,11 17 27,stats_26.csv,-1.436460018157959,-2.0063087940216064,
GP_F32,GP_F,GP_F/GP_F32,3,1,27,0.2452333333333333,15 3 24,stats_26.csv,-1.493855118751526,-2.024658441543579,
GP_F6,GP_F,GP_F/GP_F6,3,1,27,0.2452333333333333,15 3 24,stats_26.csv,-1.4778989553451538,-2.060254573822021,
GP_F70,GP_F,GP_F/GP_F70,3,1,27,0.2452333333333333,24 28 26,stats_26.csv,-1.4831546545028689,-2.0515968799591064,
GP_F74,GP_F,GP_F/GP_F74,3,1,27,0.2452333333333333,9 24 20,stats_26.csv,-1.4256012439727783,-1.970672965049744,
GP_F12,GP_F,GP_F/GP_F12,4,2,27,0.2452333333333333,29 26 23,stats_26.csv,-1.485672116279602,-2.130665063858032,
GP_F13,GP_F,GP_F/GP_F13,4,2,27,0.2452333333333333,17 28 25,stats_26.csv,-1.443669319152832,-1.999589920043945,
GP_F41,GP_F,GP_F/GP_F41,4,2,27,0.2452333333333333,24 1 2,stats_26.csv,-1.4215795993804932,-1.9770731925964355,
GP_F51,GP_F,GP_F/GP_F51,4,2,27,0.2452333333333333,5 2 1,stats_26.csv,-1.4594558477401731,-2.035809278488159,
GP_F59,GP_F,GP_F/GP_F59,4,2,27,0.2452333333333333,12 24 19,stats_26.csv,-1.5017476081848145,-2.1325879096984863,
GP_F71,GP_F,GP_F/GP_F71,4,2,27,0.2452333333333333,10 17 23,stats_26.csv,-1.4258841276168823,-1.96431577205658,
GP_F87,GP_F,GP_F/GP_F87,4,2,27,0.2452333333333333,7 24 19,stats_26.csv,-1.4450119733810425,-1.9640625715255735,
GP_F92,GP_F,GP_F/GP_F92,4,2,27,0.2452333333333333,18 17 28,stats_26.csv,-1.4108506441116333,-1.907948851585388,
GP_F0,GP_F,GP_F/GP_F0,5,3,27,0.2452333333333333,25 17 22,stats_26.csv,-1.4575212001800537,-1.9969390630722048,
GP_F10,GP_F,GP_F/GP_F10,5,3,27,0.2452333333333333,26 17 20,stats_26.csv,-1.4083638191223145,-1.8999760150909424,
GP_F21,GP_F,GP_F/GP_F21,5,3,27,0.2452333333333333,14 17 10,stats_26.csv,-1.4566980600357056,-2.0631766319274902,
GP_F23,GP_F,GP_F/GP_F23,5,3,27,0.2452333333333333,22 9 28,stats_26.csv,-1.4283697605133057,-1.974010944366455,
GP_F24,GP_F,GP_F/GP_F24,5,3,27,0.2452333333333333,16 21 23,stats_26.csv,-1.4343355894088743,-1.978142023086548,
GP_F29,GP_F,GP_F/GP_F29,5,3,27,0.2452333333333333,26 0 16,stats_26.csv,-1.4445652961730957,-2.0045197010040283,
GP_F3,GP_F,GP_F/GP_F3,5,3,27,0.2452333333333333,22 18 9,stats_26.csv,-1.4250080585479736,-1.975685954093933,
GP_F34,GP_F,GP_F/GP_F34,5,3,27,0.2452333333333333,20 28 21,stats_26.csv,-1.4016602039337158,-1.841565012931824,
GP_F42,GP_F,GP_F/GP_F42,5,3,27,0.2452333333333333,11 16 13,stats_26.csv,-1.4547244310379028,-2.035848379135132,
GP_F5,GP_F,GP_F/GP_F5,5,3,27,0.2452333333333333,22 28 23,stats_26.csv,-1.3910610675811768,-1.7914000749588013,
GP_F57,GP_F,GP_F/GP_F57,5,3,27,0.2452333333333333,16 20 28,stats_26.csv,-1.4363958835601809,-1.9759546518325808,
GP_F65,GP_F,GP_F/GP_F65,5,3,27,0.2452333333333333,12 22 19,stats_26.csv,-1.418659210205078,-1.9549002647399905,
GP_F67,GP_F,GP_F/GP_F67,5,3,27,0.2452333333333333,9 15 21,stats_26.csv,-1.4645626544952393,-2.0394136905670166,
GP_F73,GP_F,GP_F/GP_F73,5,3,27,0.2452333333333333,21 29 1,stats_26.csv,-1.4052566289901731,-1.8629087209701536,
GP_F77,GP_F,GP_F/GP_F77,5,3,27,0.2452333333333333,19 18 21,stats_26.csv,-1.447669267654419,-2.011399984359741,
